timestamp,PV (kWh),Load (kWh),price (cents/kWh)
01262011 04:00,0,3057,50.64
01262011 05:00,0,3351,48.47
01262011 06:00,0,3808,74.75
01262011 07:00,25.3846175,4009,88.63
01262011 08:00,423.4294845,4003,79.96
01262011 09:00,2629.0705155,4020,79.03
01262011 10:00,3914.5192295,4037,79.62
01262011 11:00,3872.564102,3997,77.61
01262011 12:00,3376.506408,3927,75.29
01262011 13:00,3403.3012805,3913,72.36
01262011 14:00,1809.3589745,3881,68.58
01262011 15:00,1224.807694,3879,71.54
01262011 16:00,669.1666685,4032,77.25
01262011 17:00,275.7051275,4276,107.83
01262011 18:00,20.8012805,4254,95.2
01262011 19:00,0,4136,84.04
01262011 20:00,0,3947,76.68
01262011 21:00,0,3670,72.55
01262011 22:00,0,3350,66.01
01262011 23:00,0,3086,59.44
01272011 00:00,0,2918,51.09
01272011 01:00,0,2833,45.35
01272011 02:00,0,2801,44.52
01272011 03:00,0,2810,44.84
01272011 04:00,0,2896,44.9
01272011 05:00,0,3153,50.76
01272011 06:00,0,3576,58.2
01272011 07:00,4.935898,3813,74.28
01272011 08:00,167.467949,3867,70.34
01272011 09:00,392.403847,3857,74.62
01272011 10:00,746.7307705,3857,77.4
01272011 11:00,2396.025643,3855,77.64
01272011 12:00,3906.410255,3803,72.96
01272011 13:00,4014.6474335,3758,70.52
01272011 14:00,3437.1474335,3711,69.61
01272011 15:00,2386.153847,3708,69.98
01272011 16:00,1110.9294845,3844,78.31
01272011 17:00,190.3846175,4167,94.73
01272011 18:00,14.4551275,4195,88.93
01272011 19:00,0,4091,85.34
01272011 20:00,0,3924,82.9
01272011 21:00,0,3668,81.59
01272011 22:00,0,3334,59.45
01272011 23:00,0,3074,55.17
01282011 00:00,0,2912,59.72
01282011 01:00,0,2824,52.11
01282011 02:00,0,2793,52
01282011 03:00,0,2814,50.92
01282011 04:00,0,2907,47.33
01282011 05:00,0,3183,51.63
01282011 06:00,0,3661,87.1
01282011 07:00,57.467949,3885,100.52
01282011 08:00,1070.032051,3880,103.6
01282011 09:00,2857.8846175,3853,114.54
01282011 10:00,3833.4294845,3823,109.75
01282011 11:00,4151.089745,3757,115.84
01282011 12:00,3985.7371785,3686,110.43
01282011 13:00,3863.0448725,3660,107.53
01282011 14:00,3105.7371785,3607,106.41
01282011 15:00,1605.9294845,3581,106.63
01282011 16:00,473.846153,3713,108.87
01282011 17:00,138.2051275,4003,125.8
01282011 18:00,3.1730765,3985,113.23
01282011 19:00,0,3866,106.72
01282011 20:00,0,3740,99.26
01282011 21:00,0,3526,89.55
01282011 22:00,0,3257,72.36
01282011 23:00,0,3000,64.67
01292011 00:00,0,2807,66.05
01292011 01:00,0,2703,56.35
01292011 02:00,0,2642,56.32
01292011 03:00,0,2639,59.5
01292011 04:00,0,2664,61.01
01292011 05:00,0,2779,59.35
01292011 06:00,0,2993,67.58
01292011 07:00,57.467949,3235,71.56
01292011 08:00,1070.032051,3476,77.93
01292011 09:00,2857.8846175,3592,90.77
01292011 10:00,1533.3012805,3619,103.35
01292011 11:00,2933.685898,3591,95.86
01292011 12:00,2532.8205155,3518,87.8
01292011 13:00,1486.7628215,3472,82.47
01292011 14:00,2379.4551275,3434,79.07
01292011 15:00,2120.3205155,3428,75.5
01292011 16:00,1102.1153825,3587,93.46
01292011 17:00,207.660255,3882,140.22
01292011 18:00,10.224357,3847,131.77
01292011 19:00,0,3717,115.32
01292011 20:00,0,3571,109.61
01292011 21:00,0,3391,96.33
01292011 22:00,0,3153,75.23
01292011 23:00,0,2921,71.71
01302011 00:00,0,2757,71.7
01302011 01:00,0,2680,62.86
01302011 02:00,0,2636,63.71
01302011 03:00,0,2625,64.42
01302011 04:00,0,2644,65.34
01302011 05:00,0,2734,66.96
01302011 06:00,0,2902,61.6
01302011 07:00,8.461541,3113,62.44
01302011 08:00,445.288459,3370,66.48
01302011 09:00,1971.8910255,3532,78.89
01302011 10:00,3745.288459,3580,81.31
01302011 11:00,4120.4166685,3594,77.83
01302011 12:00,3406.121796,3575,74.6
01302011 13:00,3512.243592,3530,69.05
01302011 14:00,1908.4294845,3494,65.98
01302011 15:00,1357.724357,3492,67.99
01302011 16:00,1160.6410255,3660,86.42
01302011 17:00,244.3269235,4016,110.14
01302011 18:00,9.5192295,4026,109.73
01302011 19:00,0,3910,104.5
01302011 20:00,0,3729,95.98
01302011 21:00,0,3471,89.11
01302011 22:00,0,3189,79.22
01302011 23:00,0,2962,72.04
01312011 00:00,0,2821,65.98
01312011 01:00,0,2756,58.62
01312011 02:00,0,2741,54.32
01312011 03:00,0,2767,59.73
01312011 04:00,0,2888,62.2
01312011 05:00,0,3195,67.66
01312011 06:00,0,3732,85.29
01312011 07:00,25.032051,3936,109.82
01312011 08:00,410.3846175,3950,111.39
01312011 09:00,1011.506408,3917,112.35
